onsite              nnhop               ospair              nnpair              
0.622155            1.0736              0.0619578           0.255126            
0.623381            1.0767              0.061874            0.254623            
0.623654            1.07758             0.0616588           0.253635            
0.622786            1.07575             0.061302            0.25202             
0.599038            1.02006             0.057974            0.238249            
0.599326            1.02098             0.0578048           0.237397            
0.599715            1.02216             0.0576453           0.236611            
0.599713            1.02241             0.0574414           0.235623            
0.585123            0.988665            0.055391            0.226917            
0.585145            0.988992            0.0552089           0.226018            
0.584864            0.988618            0.0549918           0.224976            
0.584764            0.988668            0.0548035           0.224034            
0.585037            0.989562            0.054664            0.223284            
0.585035            0.989832            0.0544835           0.222407            
0.585864            0.992026            0.054405            0.221958            
0.585476            0.991386            0.0541856           0.220888            
0.586398            0.993796            0.0541265           0.22049             
0.58693             0.995292            0.0540181           0.219892            
0.595609            1.01587             0.0548799           0.223468            
0.59544             1.01572             0.0546814           0.222489            
0.594739            1.01429             0.0544162           0.221243            
0.593613            1.01187             0.0541068           0.219798            
0.593007            1.01066             0.0538584           0.218613            
0.592568            1.00984             0.0536317           0.217522            
0.591743            1.00812             0.053367            0.216255            
0.591694            1.00823             0.0532004           0.215375            
0.590035            1.00452             0.0528421           0.213704            
0.590049            1.00477             0.0526818           0.21288             
0.589812            1.00443             0.0524901           0.211932            
0.589967            1.00502             0.0523496           0.211182            
0.59838             1.02526             0.0531774           0.214493            
0.598437            1.0256              0.0530124           0.213671            
0.5982              1.02523             0.0528217           0.212712            
0.598406            1.02592             0.0526807           0.211971            
0.598771            1.02699             0.0525597           0.211311            
0.602607            1.03643             0.052837            0.212338            
0.602002            1.03514             0.0526028           0.211205            
0.601622            1.03439             0.0524002           0.210176            
0.602036            1.03557             0.0522875           0.209544            
0.602708            1.03738             0.0522036           0.209033            
0.602543            1.03714             0.0520268           0.208132            
0.602513            1.03722             0.0518668           0.207295            
0.601263            1.03434             0.0515687           0.205879            
0.602694            1.03799             0.0515746           0.205748            
0.6019              1.03621             0.051333            0.204568            
0.602275            1.03727             0.0512239           0.203938            
0.600862            1.03396             0.0509178           0.202474            
0.600426            1.03307             0.0507194           0.201489            
0.600603            1.03365             0.0505894           0.200789            
0.600424            1.03338             0.0504227           0.199949            
0.600386            1.03343             0.0502726           0.199161            
0.592339            1.01381             0.0492562           0.194688            
0.592944            1.01545             0.0491849           0.194237            
0.592447            1.0144              0.0489932           0.193282            
0.592574            1.01487             0.0488744           0.192612            
0.591084            1.01138             0.0485805           0.191221            
0.590734            1.01067             0.0484117           0.190351            
0.592269            1.0146              0.0484455           0.190346            
0.592377            1.01502             0.0483243           0.189695            
0.574585            0.971441            0.0463128           0.181032            
0.575901            0.974814            0.0463373           0.180987            
0.575907            0.975015            0.0462221           0.180361            
0.575691            0.974669            0.0460894           0.179635            
0.576771            0.97748             0.0460879           0.179491            
0.576596            0.977232            0.0459579           0.17879             
0.583424            0.994054            0.0465527           0.181189            
0.583548            0.994524            0.0464478           0.180605            
0.583661            0.994959            0.0463433           0.180012            
