onsite              nnhop               ospair              nnpair              
1.13549             1.95048             0.0643087           0.187462            
1.13558             1.95074             0.0641122           0.18662             
1.13548             1.95048             0.063902            0.185716            
1.13578             1.95129             0.0637248           0.184924            
1.1362              1.95239             0.063558            0.184172            
1.13546             1.95043             0.0633067           0.183159            
1.13536             1.95016             0.0631054           0.18229             
1.1356              1.9508              0.0629282           0.181515            
1.13559             1.95076             0.0627337           0.180674            
1.13504             1.94928             0.0625026           0.179723            
1.13518             1.94966             0.0623253           0.178948            
1.13529             1.94995             0.0621476           0.178167            
1.1353              1.94997             0.0619606           0.17737             
1.13527             1.94988             0.0617715           0.176567            
1.13481             1.94862             0.061554            0.175672            
1.13491             1.94888             0.0613783           0.174908            
1.13393             1.94625             0.0611291           0.173914            
1.13289             1.94344             0.0608799           0.172904            
1.13288             1.94341             0.0606996           0.172147            
1.13277             1.9431              0.0605147           0.17137             
1.13325             1.94439             0.060374            0.170727            
1.13295             1.94355             0.0601769           0.169916            
1.13316             1.94409             0.0600185           0.169227            
1.1326              1.94258             0.0598074           0.168366            
1.13266             1.94273             0.059639            0.167657            
1.13228             1.94171             0.0594416           0.166853            
1.13247             1.94219             0.059284            0.166182            
1.13284             1.94315             0.0591418           0.165545            
1.13313             1.94391             0.0589929           0.164907            
1.13388             1.94589             0.0588741           0.164369            
1.13402             1.94622             0.0587167           0.163702            
1.13438             1.94716             0.058578            0.163089            
1.13421             1.94667             0.0584028           0.162374            
1.13403             1.94616             0.0582305           0.161661            
1.13403             1.94611             0.0580672           0.160986            
1.134               1.946               0.0579069           0.160308            
1.13422             1.94654             0.0577628           0.159685            
1.13398             1.94587             0.0575907           0.158981            
1.13352             1.94458             0.0574045           0.15823             
1.1339              1.94554             0.0572689           0.157654            
1.13374             1.94508             0.0571043           0.156985            
1.13336             1.944               0.056925            0.156267            
1.13347             1.94426             0.0567781           0.15567             
1.13435             1.94658             0.0566814           0.155216            
1.13441             1.9467              0.0565337           0.154602            
1.13469             1.94741             0.0564029           0.154036            
1.13449             1.94682             0.0562411           0.153378            
1.13698             1.95347             0.0562455           0.153245            
1.137               1.95346             0.0560959           0.152637            
1.13711             1.95369             0.0559511           0.152066            
1.13706             1.95349             0.055799            0.151449            
1.13799             1.95594             0.0557084           0.151029            
1.13805             1.956               0.0555663           0.150443            
1.13723             1.95372             0.055372            0.149691            
1.13729             1.95383             0.0552312           0.149113            
1.13721             1.95354             0.0550822           0.148512            
1.13709             1.95313             0.0549328           0.147912            
1.13698             1.95276             0.0547851           0.147313            
1.13699             1.9527              0.0546464           0.146752            
1.13451             1.94595             0.0543609           0.145732            
1.13486             1.94683             0.0542423           0.145237            
1.13463             1.94616             0.0540896           0.144642            
1.13443             1.94556             0.0539373           0.144055            
1.13476             1.94639             0.0538212           0.143567            
1.13446             1.94549             0.0536682           0.142962            
1.13445             1.9454              0.0535315           0.142419            
1.13477             1.94619             0.0534168           0.141939            
1.13479             1.94618             0.0532844           0.141408            
1.13476             1.94603             0.0531497           0.140874            
1.13493             1.94643             0.0530291           0.140372            
1.13463             1.94554             0.0528852           0.139815            
1.13452             1.94519             0.0527481           0.139273            
1.13405             1.94385             0.0525927           0.138679            
1.13394             1.94348             0.0524594           0.138143            
1.13377             1.94297             0.0523206           0.137609            
1.13381             1.943               0.052195            0.137112            
1.13345             1.94197             0.0520501           0.136557            
1.13377             1.94278             0.0519413           0.136121            
1.13386             1.94294             0.0518232           0.135641            
1.13384             1.94281             0.0516983           0.135145            
1.1333              1.94128             0.0515466           0.134566            
1.13353             1.94184             0.0514377           0.134125            
1.13378             1.94245             0.0513277           0.133688            
1.13611             1.94867             0.0513359           0.133601            
1.13609             1.94853             0.0512116           0.133115            
1.13663             1.94988             0.0511203           0.132724            
1.13617             1.94857             0.0509748           0.132177            
1.1362              1.94857             0.0508562           0.131715            
1.13616             1.94836             0.0507352           0.131244            
1.13776             1.95261             0.0507014           0.131042            
1.13765             1.95221             0.0505782           0.13056             
1.13782             1.95258             0.0504684           0.130128            
1.13768             1.9521              0.0503424           0.12965             
1.13821             1.95344             0.0502553           0.129279            
1.13822             1.95339             0.0501404           0.128836            
1.13864             1.95443             0.0500487           0.128456            
1.13878             1.95471             0.0499399           0.128028            
1.13871             1.95442             0.0498219           0.127572            
1.13885             1.95472             0.0497139           0.12715             
1.13913             1.95537             0.0496141           0.12675             
1.13908             1.95512             0.0494987           0.126302            
1.13636             1.94765             0.049246            0.12546             
1.1364              1.94768             0.049137            0.125033            
1.13642             1.94763             0.0490263           0.124606            
1.13647             1.94766             0.0489185           0.124186            
1.13633             1.94719             0.0488034           0.123747            
1.13346             1.93934             0.0485475           0.122896            
1.13353             1.93946             0.0484444           0.122498            
1.13355             1.93945             0.0483378           0.122093            
1.13353             1.93931             0.0482302           0.121681            
1.13295             1.93766             0.0480954           0.121192            
1.13257             1.93654             0.0479682           0.120733            
1.13262             1.93662             0.0478653           0.120348            
1.13285             1.93716             0.0477747           0.119989            
1.13295             1.93737             0.0476788           0.119615            
1.13293             1.93722             0.0475729           0.119217            
1.133               1.93733             0.0474751           0.118837            
1.13244             1.93574             0.0473465           0.11837             
