13
e_L                 onsite              nnhop               ospair              
(-1.6,0)            (0.0205309,0)       (-0.000658313,0)    (0.00459958,0)      
(-1.92,0)           (-0.0432317,0)      (-0.000594317,0)    (0.0190524,0)       
(-1.4,0)            (-0.0574009,0)      (-0.000760219,0)    (0.0248777,0)       
(-1.12,0)           (-0.0278454,0)      (-0.000830087,0)    (0.0187618,0)       
(-1.76,0)           (-0.0918945,0)      (-0.00066885,0)     (0.0318727,0)       
(-1.64,0)           (-0.00392013,0)     (-0.000658924,0)    (0.0105067,0)       
(-1.32,0)           (-0.0329198,0)      (-0.000771673,0)    (0.0191383,0)       
(-1.2,0)            (0.0501867,0)       (-0.000764538,0)    (-0.00101293,0)     
(-1.4,0)            (0.0939312,0)       (-0.000680411,0)    (-0.0127861,0)      
(-1.64,0)           (-0.028051,0)       (-0.00101054,0)     (0.0214298,0)       
(-1.56,0)           (-0.0184967,0)      (-0.000690908,0)    (0.0144871,0)       
(-1.68,0)           (-0.0527639,0)      (-0.00067265,0)     (0.0224884,0)       
(-1.44,0)           (0.0304379,0)       (-0.000701791,0)    (0.0028406,0)       
(-1.48,0)           (-0.0281773,0)      (-0.00072054,0)     (0.0172524,0)       
(-1.48,0)           (-0.0233044,0)      (-0.00071783,0)     (0.0160375,0)       
(-1.72,0)           (-0.023518,0)       (-0.000644918,0)    (0.0150311,0)       
(-1.32,0)           (-0.0329173,0)      (-0.000771713,0)    (0.0191383,0)       
(-1.56,0)           (0.0156855,0)       (-0.000673049,0)    (0.00598226,0)      
(-1.48,0)           (-0.0379437,0)      (-0.000725643,0)    (0.0196823,0)       
(-1.4,0)            (0.00606236,0)      (-0.000726773,0)    (0.00908318,0)      
(-1.6,0)            (-0.0185242,0)      (-0.000678882,0)    (0.0143193,0)       
(-1.44,0)           (-0.028137,0)       (-0.000732765,0)    (0.01742,0)         
(-1.48,0)           (-0.0769885,0)      (-0.000746372,0)    (0.0294018,0)       
(-1.68,0)           (-0.0283634,0)      (-0.000659655,0)    (0.0164138,0)       
(-1.36,0)           (-0.00853914,0)     (-0.000746771,0)    (0.0128957,0)       
(-1.48,0)           (-0.0184187,0)      (-0.000715318,0)    (0.0148225,0)       
(-1.4,0)            (-0.0476371,0)      (-0.000755076,0)    (0.0224477,0)       
